Trial 57 finished with values: [7.785090827941895, 0.7503579974174499] and parameters: {'resnet2d_inplanes_0': 38, 'resnet3d_inplanes_0': 21, 'resnet2d_inplanes_1': 36, 'resnet3d_inplanes_1': 32, 'resnet2d_inplanes_2': 57, 'resnet3d_inplanes_2': 27, 'optimizer': 'Adam', 'lr': 7.128790478344418e-05, 'weight_decay': 0.00039629945852066574, 'batch_size': 3}. 
Trial 58 finished with values: [22.014925820486887, 0.9197018487112862] and parameters: {'resnet2d_inplanes_0': 56, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 62, 'resnet3d_inplanes_1': 32, 'resnet2d_inplanes_2': 54, 'resnet3d_inplanes_2': 24, 'optimizer': 'SGD', 'lr': 0.030294095196122153, 'weight_decay': 0.00022871223183994454, 'batch_size': 2}. 
Trial 59 finished with values: [9.565236364092145, 0.7710379958152771] and parameters: {'resnet2d_inplanes_0': 52, 'resnet3d_inplanes_0': 20, 'resnet2d_inplanes_1': 32, 'resnet3d_inplanes_1': 19, 'resnet2d_inplanes_2': 55, 'resnet3d_inplanes_2': 23, 'optimizer': 'Adam', 'lr': 8.216392585254432e-05, 'weight_decay': 5.237750210028175e-06, 'batch_size': 2}. 
Trial 60 finished with values: [10.562763214111328, 0.8308472514152527] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 25, 'resnet2d_inplanes_1': 43, 'resnet3d_inplanes_1': 27, 'resnet2d_inplanes_2': 61, 'resnet3d_inplanes_2': 30, 'optimizer': 'Adam', 'lr': 2.4136633487601786e-05, 'weight_decay': 4.486726546954734e-06, 'batch_size': 3}. 
Trial 61 finished with values: [9.148894906044006, 0.7986569553613663] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 31, 'resnet2d_inplanes_1': 55, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 46, 'resnet3d_inplanes_2': 19, 'optimizer': 'SGD', 'lr': 0.0008882136680866258, 'weight_decay': 3.5801054955154386e-06, 'batch_size': 4}. 
Trial 62 finished with values: [11.473880529403687, 0.8165227770805359] and parameters: {'resnet2d_inplanes_0': 57, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 34, 'resnet3d_inplanes_1': 32, 'resnet2d_inplanes_2': 53, 'resnet3d_inplanes_2': 16, 'optimizer': 'SGD', 'lr': 3.0210446225153592e-05, 'weight_decay': 0.004586289376124436, 'batch_size': 4}. 
Trial 63 finished with values: [8.388717770576477, 0.7622578740119934] and parameters: {'resnet2d_inplanes_0': 32, 'resnet3d_inplanes_0': 19, 'resnet2d_inplanes_1': 46, 'resnet3d_inplanes_1': 29, 'resnet2d_inplanes_2': 34, 'resnet3d_inplanes_2': 27, 'optimizer': 'RMSprop', 'lr': 1.4289468591608565e-05, 'weight_decay': 1.7378940536555563e-06, 'batch_size': 4}. 
Trial 64 finished with values: [10.705061435699463, 0.839732214808464] and parameters: {'resnet2d_inplanes_0': 53, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 59, 'resnet3d_inplanes_1': 26, 'resnet2d_inplanes_2': 57, 'resnet3d_inplanes_2': 24, 'optimizer': 'RMSprop', 'lr': 0.0020638973946346564, 'weight_decay': 8.4335112798632e-06, 'batch_size': 5}. 
Trial 65 finished with values: [12.585727214813232, 0.8257308751344681] and parameters: {'resnet2d_inplanes_0': 44, 'resnet3d_inplanes_0': 31, 'resnet2d_inplanes_1': 57, 'resnet3d_inplanes_1': 30, 'resnet2d_inplanes_2': 38, 'resnet3d_inplanes_2': 23, 'optimizer': 'SGD', 'lr': 2.8751342477511235e-05, 'weight_decay': 1.7378940536555563e-06, 'batch_size': 4}. 
Trial 66 finished with values: [6.691083717346191, 0.7070895314216614] and parameters: {'resnet2d_inplanes_0': 32, 'resnet3d_inplanes_0': 25, 'resnet2d_inplanes_1': 43, 'resnet3d_inplanes_1': 18, 'resnet2d_inplanes_2': 62, 'resnet3d_inplanes_2': 32, 'optimizer': 'RMSprop', 'lr': 2.8751342477511235e-05, 'weight_decay': 1.7378940536555563e-06, 'batch_size': 3}. 
